id,offset,accuracy,accuracy_index,answer,behind_beat,track_id,track_name,track_random_intercept,track_random_slope,difficulty_with_track_effect,difficulty_without_track_effect,discrimination,guessing,inattention,file_name
64,-0.143841693,0.655,19,2,FALSE,1,boabab,-2.593740662,1.8063247,0.56370153,-0.646073756,1.166,0.5,1,64_2_-0.1438_beep_boabab.mp3
65,-0.142588686,0.66,18,1,FALSE,1,boabab,-2.593740662,1.8063247,0.592180412,-0.609849057,1.166,0.5,1,65_1_-0.1426_beep_boabab.mp3
66,-0.142588686,0.66,18,2,FALSE,1,boabab,-2.593740662,1.8063247,0.592180412,-0.609849057,1.166,0.5,1,66_2_-0.1426_beep_boabab.mp3
67,-0.141332516,0.665,17,1,FALSE,1,boabab,-2.593740662,1.8063247,0.620659294,-0.573624357,1.166,0.5,1,67_1_-0.1413_beep_boabab.mp3
68,-0.141332516,0.665,17,2,FALSE,1,boabab,-2.593740662,1.8063247,0.620659294,-0.573624357,1.166,0.5,1,68_2_-0.1413_beep_boabab.mp3
69,-0.140072991,0.67,16,1,FALSE,1,boabab,-2.593740662,1.8063247,0.649138176,-0.537399657,1.166,0.5,1,69_1_-0.1401_beep_boabab.mp3
70,-0.140072991,0.67,16,2,FALSE,1,boabab,-2.593740662,1.8063247,0.649138176,-0.537399657,1.166,0.5,1,70_2_-0.1401_beep_boabab.mp3
71,-0.13880991,0.675,15,1,FALSE,1,boabab,-2.593740662,1.8063247,0.677617058,-0.501174957,1.166,0.5,1,71_1_-0.1388_beep_boabab.mp3
72,-0.13880991,0.675,15,2,FALSE,1,boabab,-2.593740662,1.8063247,0.677617058,-0.501174957,1.166,0.5,1,72_2_-0.1388_beep_boabab.mp3
73,-0.137543069,0.68,14,1,FALSE,1,boabab,-2.593740662,1.8063247,0.70609594,-0.464950257,1.166,0.5,1,73_1_-0.1375_beep_boabab.mp3
74,-0.137543069,0.68,14,2,FALSE,1,boabab,-2.593740662,1.8063247,0.70609594,-0.464950257,1.166,0.5,1,74_2_-0.1375_beep_boabab.mp3
75,-0.136272258,0.685,13,1,FALSE,1,boabab,-2.593740662,1.8063247,0.734574822,-0.428725557,1.166,0.5,1,75_1_-0.1363_beep_boabab.mp3
76,-0.136272258,0.685,13,2,FALSE,1,boabab,-2.593740662,1.8063247,0.734574822,-0.428725557,1.166,0.5,1,76_2_-0.1363_beep_boabab.mp3
77,-0.134997261,0.69,12,1,FALSE,1,boabab,-2.593740662,1.8063247,0.763053704,-0.392500858,1.166,0.5,1,77_1_-0.135_beep_boabab.mp3
78,-0.134997261,0.69,12,2,FALSE,1,boabab,-2.593740662,1.8063247,0.763053704,-0.392500858,1.166,0.5,1,78_2_-0.135_beep_boabab.mp3
79,-0.133717855,0.695,11,1,FALSE,1,boabab,-2.593740662,1.8063247,0.791532586,-0.356276158,1.166,0.5,1,79_1_-0.1337_beep_boabab.mp3
80,-0.133717855,0.695,11,2,FALSE,1,boabab,-2.593740662,1.8063247,0.791532586,-0.356276158,1.166,0.5,1,80_2_-0.1337_beep_boabab.mp3
81,-0.132433811,0.7,10,1,FALSE,1,boabab,-2.593740662,1.8063247,0.820011468,-0.320051458,1.166,0.5,1,81_1_-0.1324_beep_boabab.mp3
82,-0.132433811,0.7,10,2,FALSE,1,boabab,-2.593740662,1.8063247,0.820011468,-0.320051458,1.166,0.5,1,82_2_-0.1324_beep_boabab.mp3
83,-0.13114489,0.705,9,1,FALSE,1,boabab,-2.593740662,1.8063247,0.848490351,-0.283826758,1.166,0.5,1,83_1_-0.1311_beep_boabab.mp3
84,-0.13114489,0.705,9,2,FALSE,1,boabab,-2.593740662,1.8063247,0.848490351,-0.283826758,1.166,0.5,1,84_2_-0.1311_beep_boabab.mp3
85,-0.129850849,0.71,8,1,FALSE,1,boabab,-2.593740662,1.8063247,0.876969233,-0.247602058,1.166,0.5,1,85_1_-0.1299_beep_boabab.mp3
86,-0.129850849,0.71,8,2,FALSE,1,boabab,-2.593740662,1.8063247,0.876969233,-0.247602058,1.166,0.5,1,86_2_-0.1299_beep_boabab.mp3
87,-0.128551433,0.715,7,1,FALSE,1,boabab,-2.593740662,1.8063247,0.905448115,-0.211377358,1.166,0.5,1,87_1_-0.1286_beep_boabab.mp3
88,-0.128551433,0.715,7,2,FALSE,1,boabab,-2.593740662,1.8063247,0.905448115,-0.211377358,1.166,0.5,1,88_2_-0.1286_beep_boabab.mp3
89,-0.12724638,0.72,6,1,FALSE,1,boabab,-2.593740662,1.8063247,0.933926997,-0.175152659,1.166,0.5,1,89_1_-0.1272_beep_boabab.mp3
90,-0.12724638,0.72,6,2,FALSE,1,boabab,-2.593740662,1.8063247,0.933926997,-0.175152659,1.166,0.5,1,90_2_-0.1272_beep_boabab.mp3
91,-0.125935419,0.725,5,1,FALSE,1,boabab,-2.593740662,1.8063247,0.962405879,-0.138927959,1.166,0.5,1,91_1_-0.1259_beep_boabab.mp3
92,-0.125935419,0.725,5,2,FALSE,1,boabab,-2.593740662,1.8063247,0.962405879,-0.138927959,1.166,0.5,1,92_2_-0.1259_beep_boabab.mp3
93,-0.124618265,0.73,4,1,FALSE,1,boabab,-2.593740662,1.8063247,0.990884761,-0.102703259,1.166,0.5,1,93_1_-0.1246_beep_boabab.mp3
94,-0.124618265,0.73,4,2,FALSE,1,boabab,-2.593740662,1.8063247,0.990884761,-0.102703259,1.166,0.5,1,94_2_-0.1246_beep_boabab.mp3
95,-0.123294626,0.735,3,1,FALSE,1,boabab,-2.593740662,1.8063247,1.019363643,-0.066478559,1.166,0.5,1,95_1_-0.1233_beep_boabab.mp3
96,-0.123294626,0.735,3,2,FALSE,1,boabab,-2.593740662,1.8063247,1.019363643,-0.066478559,1.166,0.5,1,96_2_-0.1233_beep_boabab.mp3
97,-0.121964196,0.74,2,1,FALSE,1,boabab,-2.593740662,1.8063247,1.047842525,-0.030253859,1.166,0.5,1,97_1_-0.122_beep_boabab.mp3
98,-0.121964196,0.74,2,2,FALSE,1,boabab,-2.593740662,1.8063247,1.047842525,-0.030253859,1.166,0.5,1,98_2_-0.122_beep_boabab.mp3
99,-0.120626656,0.745,1,1,FALSE,1,boabab,-2.593740662,1.8063247,1.076321407,0.00597084,1.166,0.5,1,99_1_-0.1206_beep_boabab.mp3
100,-0.120626656,0.745,1,2,FALSE,1,boabab,-2.593740662,1.8063247,1.076321407,0.00597084,1.166,0.5,1,100_2_-0.1206_beep_boabab.mp3
101,-0.119281675,0.75,1,1,FALSE,1,boabab,-2.593740662,1.8063247,1.104800289,0.04219554,1.166,0.5,1,101_1_-0.1193_beep_boabab.mp3
102,-0.119281675,0.75,1,2,FALSE,1,boabab,-2.593740662,1.8063247,1.104800289,0.04219554,1.166,0.5,1,102_2_-0.1193_beep_boabab.mp3
103,-0.117928904,0.755,2,1,FALSE,1,boabab,-2.593740662,1.8063247,1.133279171,0.07842024,1.166,0.5,1,103_1_-0.1179_beep_boabab.mp3
104,-0.117928904,0.755,2,2,FALSE,1,boabab,-2.593740662,1.8063247,1.133279171,0.07842024,1.166,0.5,1,104_2_-0.1179_beep_boabab.mp3
105,-0.116567983,0.76,3,1,FALSE,1,boabab,-2.593740662,1.8063247,1.161758053,0.11464494,1.166,0.5,1,105_1_-0.1166_beep_boabab.mp3
106,-0.116567983,0.76,3,2,FALSE,1,boabab,-2.593740662,1.8063247,1.161758053,0.11464494,1.166,0.5,1,106_2_-0.1166_beep_boabab.mp3
107,-0.115198529,0.765,4,1,FALSE,1,boabab,-2.593740662,1.8063247,1.190236935,0.15086964,1.166,0.5,1,107_1_-0.1152_beep_boabab.mp3
108,-0.115198529,0.765,4,2,FALSE,1,boabab,-2.593740662,1.8063247,1.190236935,0.15086964,1.166,0.5,1,108_2_-0.1152_beep_boabab.mp3
109,-0.113820146,0.77,5,1,FALSE,1,boabab,-2.593740662,1.8063247,1.218715818,0.18709434,1.166,0.5,1,109_1_-0.1138_beep_boabab.mp3
110,-0.113820146,0.77,5,2,FALSE,1,boabab,-2.593740662,1.8063247,1.218715818,0.18709434,1.166,0.5,1,110_2_-0.1138_beep_boabab.mp3
111,-0.112432415,0.775,6,1,FALSE,1,boabab,-2.593740662,1.8063247,1.2471947,0.223319039,1.166,0.5,1,111_1_-0.1124_beep_boabab.mp3
112,-0.112432415,0.775,6,2,FALSE,1,boabab,-2.593740662,1.8063247,1.2471947,0.223319039,1.166,0.5,1,112_2_-0.1124_beep_boabab.mp3
113,-0.111034895,0.78,7,1,FALSE,1,boabab,-2.593740662,1.8063247,1.275673582,0.259543739,1.166,0.5,1,113_1_-0.111_beep_boabab.mp3
114,-0.111034895,0.78,7,2,FALSE,1,boabab,-2.593740662,1.8063247,1.275673582,0.259543739,1.166,0.5,1,114_2_-0.111_beep_boabab.mp3
115,-0.109627124,0.785,8,1,FALSE,1,boabab,-2.593740662,1.8063247,1.304152464,0.295768439,1.166,0.5,1,115_1_-0.1096_beep_boabab.mp3
116,-0.109627124,0.785,8,2,FALSE,1,boabab,-2.593740662,1.8063247,1.304152464,0.295768439,1.166,0.5,1,116_2_-0.1096_beep_boabab.mp3
117,-0.108208613,0.79,9,1,FALSE,1,boabab,-2.593740662,1.8063247,1.332631346,0.331993139,1.166,0.5,1,117_1_-0.1082_beep_boabab.mp3
118,-0.108208613,0.79,9,2,FALSE,1,boabab,-2.593740662,1.8063247,1.332631346,0.331993139,1.166,0.5,1,118_2_-0.1082_beep_boabab.mp3
119,-0.106778846,0.795,10,1,FALSE,1,boabab,-2.593740662,1.8063247,1.361110228,0.368217839,1.166,0.5,1,119_1_-0.1068_beep_boabab.mp3
120,-0.106778846,0.795,10,2,FALSE,1,boabab,-2.593740662,1.8063247,1.361110228,0.368217839,1.166,0.5,1,120_2_-0.1068_beep_boabab.mp3
121,-0.105337277,0.8,11,1,FALSE,1,boabab,-2.593740662,1.8063247,1.38958911,0.404442539,1.166,0.5,1,121_1_-0.1053_beep_boabab.mp3
122,-0.105337277,0.8,11,2,FALSE,1,boabab,-2.593740662,1.8063247,1.38958911,0.404442539,1.166,0.5,1,122_2_-0.1053_beep_boabab.mp3
123,-0.103883327,0.805,12,1,FALSE,1,boabab,-2.593740662,1.8063247,1.418067992,0.440667238,1.166,0.5,1,123_1_-0.1039_beep_boabab.mp3
124,-0.103883327,0.805,12,2,FALSE,1,boabab,-2.593740662,1.8063247,1.418067992,0.440667238,1.166,0.5,1,124_2_-0.1039_beep_boabab.mp3
125,-0.102416382,0.81,13,1,FALSE,1,boabab,-2.593740662,1.8063247,1.446546874,0.476891938,1.166,0.5,1,125_1_-0.1024_beep_boabab.mp3
126,-0.102416382,0.81,13,2,FALSE,1,boabab,-2.593740662,1.8063247,1.446546874,0.476891938,1.166,0.5,1,126_2_-0.1024_beep_boabab.mp3
127,-0.100935789,0.815,14,1,FALSE,1,boabab,-2.593740662,1.8063247,1.475025756,0.513116638,1.166,0.5,1,127_1_-0.1009_beep_boabab.mp3
128,-0.100935789,0.815,14,2,FALSE,1,boabab,-2.593740662,1.8063247,1.475025756,0.513116638,1.166,0.5,1,128_2_-0.1009_beep_boabab.mp3
129,-0.099440851,0.82,15,1,FALSE,1,boabab,-2.593740662,1.8063247,1.503504638,0.549341338,1.166,0.5,1,129_1_-0.0994_beep_boabab.mp3
